"","m1","m2","m3","m4"
"1",-0.300286541162631,-0.363435214586699,-0.329955255742576,-0.250439590929356
"2",-0.0968376366256035,-0.195951481309927,0.0820717277959867,-0.0263276283530444
"3",-0.373615144531206,-0.455580526152368,-0.304865781304439,-0.421329180265594
"4",-0.629536257841384,-0.616310274562396,-0.720196220005896,-0.674074044228534
"5",-0.21884563559073,-0.229479356297054,-0.257060261405728,-0.239125361947793
"6",-0.521587766293427,-0.475154020023243,-0.523965840921552,-0.489951226767546
"7",-0.322502547086417,-0.271385971207577,-0.304232390377807,-0.300153605666737
"8",-0.0934207586683286,-0.0329889838311918,-0.094092514059673,-0.139941629309828
"9",-0.35552202052878,-0.370063993570448,-0.302018415716467,-0.375483194596904
"10",-0.165147562617194,-0.058733776101202,-0.230209256965557,-0.214129413573903
"11",-0.391128237366084,-0.379860353752905,-0.271094568022842,-0.382887777772823
"12",-0.250451764873471,-0.248018174733046,-0.281443909613956,-0.304308231843086
"13",-0.351113299484692,-0.422178965858046,-0.361427552836902,-0.392696608819344
"14",-0.148233619400234,-0.0897296484891701,-0.14410546605008,-0.136877477142023
"15",-0.0859425873137991,-0.1129864136322,-0.0795948913208045,-0.115159340422914
"16",-0.19197818561239,-0.293481350498306,-0.292888145027895,-0.348524917897154
